center,left,right,steering,,,
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_15_549.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_15_549.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_15_549.jpg,0,0,0,12.69053
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_15_617.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_15_617.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_15_617.jpg,0,0,0,12.65045
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_15_716.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_15_716.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_15_716.jpg,-0.25,0,0,12.44682
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_15_783.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_15_783.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_15_783.jpg,-0.4,0,0,12.33228
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_15_882.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_15_882.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_15_882.jpg,0,0.1919518,0,12.18763
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_15_949.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_15_949.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_15_949.jpg,0,0.4012828,0,12.30887
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_16_031.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_16_031.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_16_031.jpg,0,0.6926637,0,12.94166
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_16_116.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_16_116.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_16_116.jpg,0,0.8962677,0,13.39626
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_16_216.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_16_216.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_16_216.jpg,0,1,0,14.71202
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_16_297.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_16_297.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_16_297.jpg,0,1,0,15.66453
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_16_394.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_16_394.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_16_394.jpg,0,1,0,16.77157
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_16_497.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_16_497.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_16_497.jpg,0,1,0,17.78318
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_16_596.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_16_596.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_16_596.jpg,0,1,0,18.82979
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_16_695.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_16_695.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_16_695.jpg,0.25,1,0,19.82108
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_16_761.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_16_761.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_16_761.jpg,0,1,0,20.38574
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_16_831.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_16_831.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_16_831.jpg,0,0.9048524,0,21.14882
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_16_904.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_16_904.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_16_904.jpg,0,0.6810346,0,21.57413
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_16_998.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_16_998.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_16_998.jpg,0,0.4005463,0,22.01399
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_17_066.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_17_066.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_17_066.jpg,0,0.1964717,0,22.09998
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_17_164.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_17_164.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_17_164.jpg,0,0.4904239,0,22.25353
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_17_232.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_17_232.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_17_232.jpg,0.1,0.6938212,0,22.6943
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_17_330.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_17_330.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_17_330.jpg,0.35,0.9876862,0,23.47238
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_17_398.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_17_398.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_17_398.jpg,0,1,0,24.0314
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_17_466.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_17_466.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_17_466.jpg,0,1,0,24.61646
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_17_566.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_17_566.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_17_566.jpg,0,1,0,25.57447
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_17_666.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_17_666.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_17_666.jpg,0,1,0,26.52571
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_17_734.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_17_734.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_17_734.jpg,0.1,1,0,27.27691
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_17_832.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_17_832.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_17_832.jpg,0.35,1,0,28.13885
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_17_933.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_17_933.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_17_933.jpg,0,0.886735,0,29.01581
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_18_030.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_18_030.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_18_030.jpg,0,0.597532,0,29.58711
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_18_099.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_18_099.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_18_099.jpg,0.15,0.3911264,0,29.75073
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_18_201.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_18_201.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_18_201.jpg,0.4,0.08412719,0,29.64258
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_18_272.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_18_272.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_18_272.jpg,0.6000001,0,0,29.24312
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_18_372.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_18_372.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_18_372.jpg,0.8500001,0,0,28.60383
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_18_470.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_18_470.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_18_470.jpg,0,0,0,27.99148
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_18_541.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_18_541.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_18_541.jpg,0,0,0,27.7713
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_18_642.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_18_642.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_18_642.jpg,0.25,0,0,27.49044
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_18_740.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_18_740.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_18_740.jpg,0.5000001,0,0,27.13179
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_18_809.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_18_809.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_18_809.jpg,0,0,0,26.88775
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_18_878.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_18_878.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_18_878.jpg,0,0,0,26.72135
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_18_977.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_18_977.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_18_977.jpg,0,0,0,26.45131
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_19_046.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_19_046.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_19_046.jpg,0,0,0,26.29153
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_19_113.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_19_113.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_19_113.jpg,0,0,0,26.0801
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_19_181.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_19_181.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_19_181.jpg,0,0,0,25.92267
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_19_278.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_19_278.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_19_278.jpg,0,0,0,25.66239
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_19_374.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_19_374.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_19_374.jpg,0,0,0,25.40472
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_19_442.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_19_442.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_19_442.jpg,-0.15,0,0,25.24268
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_19_544.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_19_544.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_19_544.jpg,-0.4,0,0,24.89637
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_19_648.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_19_648.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_19_648.jpg,0,0,0,24.40918
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_19_738.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_19_738.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_19_738.jpg,0,0,0,24.19414
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_19_836.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_19_836.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_19_836.jpg,0,0,0,23.94774
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_19_906.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_19_906.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_19_906.jpg,-0.15,0,0,23.79864
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_20_009.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_20_009.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_20_009.jpg,0,0,0,23.42531
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_20_104.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_20_104.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_20_104.jpg,0,0,0,23.17844
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_20_205.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_20_205.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_20_205.jpg,-0.15,0,0,22.89203
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_20_305.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_20_305.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_20_305.jpg,0,0,0,22.37592
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_20_405.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_20_405.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_20_405.jpg,0,0,0,22.06773
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_20_473.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_20_473.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_20_473.jpg,0,0.0933423,0,21.76081
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_20_540.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_20_540.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_20_540.jpg,0,0.2955601,0,21.13042
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_20_641.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_20_641.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_20_641.jpg,0,0.5956678,0,21.49318
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_20_744.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_20_744.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_20_744.jpg,0.15,0.9045632,0,21.92478
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_20_811.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_20_811.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_20_811.jpg,0.35,1,0,22.19412
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_20_907.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_20_907.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_20_907.jpg,0.5500001,1,0,22.6172
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_21_006.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_21_006.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_21_006.jpg,0,1,0,23.02515
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_21_125.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_21_125.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_21_125.jpg,0,1,0,23.5068
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_21_174.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_21_174.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_21_174.jpg,0,1,0,23.82238
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_21_276.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_21_276.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_21_276.jpg,0.1,1,0,24.47874
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_21_377.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_21_377.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_21_377.jpg,0.35,1,0,24.72687
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_21_476.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_21_476.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_21_476.jpg,0.6000001,0.8966255,0,25.04321
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_21_550.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_21_550.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_21_550.jpg,0.8000001,0.6755257,0,24.9625
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_21_646.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_21_646.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_21_646.jpg,1,0.3847806,0,24.5916
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_21_751.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_21_751.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_21_751.jpg,0,0.07063246,0,23.649
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_21_821.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_21_821.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_21_821.jpg,0.15,0,0,23.33218
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_21_921.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_21_921.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_21_921.jpg,0,0,0,22.60301
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_22_021.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_22_021.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_22_021.jpg,0,0,0,22.00739
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_22_120.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_22_120.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_22_120.jpg,0,0,0,21.22982
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_22_189.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_22_189.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_22_189.jpg,0,0.09756017,0,20.7671
